"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","57500","A","","","0"
"2006","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","57700","A","","","0"
"2007","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","59200","A","","","0"
"2008","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","60900","A","","","0"
"2009","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","59700","A","","","0"
"2010","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","60200","A","","","0"
"2011","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","60500","A","","","0"
"2012","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","60600","A","","","0"
"2013","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","62200","A","","","0"
"2014","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","62400","A","","","0"
"2015","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","63000","A","","","0"
"2016","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","62300","A","","","0"
"2017","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","63700","A","","","0"
"2018","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","64400","A","","","0"
"2019","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","64900","A","","","0"
"2020","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","67200","A","","","0"
