REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-05,Canada,2016A000011124,Persons,249,units,0,v1,1,32075011,,,,0
Apr-05,Canada,2016A000011124,Persons,249,units,0,v1,1,32140569,,,,0
Jul-05,Canada,2016A000011124,Persons,249,units,0,v1,1,32242732,,,,0
Oct-05,Canada,2016A000011124,Persons,249,units,0,v1,1,32353311,,,,0
Jan-06,Canada,2016A000011124,Persons,249,units,0,v1,1,32394909,,,,0
Apr-06,Canada,2016A000011124,Persons,249,units,0,v1,1,32470171,,,,0
Jul-06,Canada,2016A000011124,Persons,249,units,0,v1,1,32571193,,,,0
Oct-06,Canada,2016A000011124,Persons,249,units,0,v1,1,32680839,,,,0
Jan-07,Canada,2016A000011124,Persons,249,units,0,v1,1,32717848,,,,0
Apr-07,Canada,2016A000011124,Persons,249,units,0,v1,1,32785964,,,,0
Jul-07,Canada,2016A000011124,Persons,249,units,0,v1,1,32888886,,,,0
Oct-07,Canada,2016A000011124,Persons,249,units,0,v1,1,33001918,,,,0
Jan-08,Canada,2016A000011124,Persons,249,units,0,v1,1,33050262,,,,0
Apr-08,Canada,2016A000011124,Persons,249,units,0,v1,1,33127394,,,,0
Jul-08,Canada,2016A000011124,Persons,249,units,0,v1,1,33247298,,,,0
Oct-08,Canada,2016A000011124,Persons,249,units,0,v1,1,33372978,,,,0
Jan-09,Canada,2016A000011124,Persons,249,units,0,v1,1,33427754,,,,0
Apr-09,Canada,2016A000011124,Persons,249,units,0,v1,1,33512305,,,,0
Jul-09,Canada,2016A000011124,Persons,249,units,0,v1,1,33630069,,,,0
Oct-09,Canada,2016A000011124,Persons,249,units,0,v1,1,33758581,,,,0
Jan-10,Canada,2016A000011124,Persons,249,units,0,v1,1,33809016,,,,0
Apr-10,Canada,2016A000011124,Persons,249,units,0,v1,1,33890461,,,,0
Jul-10,Canada,2016A000011124,Persons,249,units,0,v1,1,34005902,,,,0
Oct-10,Canada,2016A000011124,Persons,249,units,0,v1,1,34132531,,,,0
Jan-11,Canada,2016A000011124,Persons,249,units,0,v1,1,34166633,,,,0
Apr-11,Canada,2016A000011124,Persons,249,units,0,v1,1,34230555,,,,0
Jul-11,Canada,2016A000011124,Persons,249,units,0,v1,1,34339221,,,,0
Oct-11,Canada,2016A000011124,Persons,249,units,0,v1,1,34457713,,,,0
Jan-12,Canada,2016A000011124,Persons,249,units,0,v1,1,34516032,,,,0
Apr-12,Canada,2016A000011124,Persons,249,units,0,v1,1,34592192,,,,0
Jul-12,Canada,2016A000011124,Persons,249,units,0,v1,1,34713395,,,,0
Oct-12,Canada,2016A000011124,Persons,249,units,0,v1,1,34834973,,,,0
Jan-13,Canada,2016A000011124,Persons,249,units,0,v1,1,34881794,,,,0
Apr-13,Canada,2016A000011124,Persons,249,units,0,v1,1,34956567,,,,0
Jul-13,Canada,2016A000011124,Persons,249,units,0,v1,1,35080992,,,,0
Oct-13,Canada,2016A000011124,Persons,249,units,0,v1,1,35209597,,,,0
Jan-14,Canada,2016A000011124,Persons,249,units,0,v1,1,35247023,,,,0
Apr-14,Canada,2016A000011124,Persons,249,units,0,v1,1,35320540,,,,0
Jul-14,Canada,2016A000011124,Persons,249,units,0,v1,1,35434066,,,,0
Oct-14,Canada,2016A000011124,Persons,249,units,0,v1,1,35555305,,,,0
Jan-15,Canada,2016A000011124,Persons,249,units,0,v1,1,35571043,,,,0
Apr-15,Canada,2016A000011124,Persons,249,units,0,v1,1,35606734,,,,0
Jul-15,Canada,2016A000011124,Persons,249,units,0,v1,1,35704498,,,,0
Oct-15,Canada,2016A000011124,Persons,249,units,0,v1,1,35823591,,,,0
Jan-16,Canada,2016A000011124,Persons,249,units,0,v1,1,35871484,,,,0
Apr-16,Canada,2016A000011124,Persons,249,units,0,v1,1,35970407,,,,0
Jul-16,Canada,2016A000011124,Persons,249,units,0,v1,1,36110803,,,,0
Oct-16,Canada,2016A000011124,Persons,249,units,0,v1,1,36257421,,,,0
Jan-17,Canada,2016A000011124,Persons,249,units,0,v1,1,36313068,,,,0
Apr-17,Canada,2016A000011124,Persons,249,units,0,v1,1,36397141,,,,0
Jul-17,Canada,2016A000011124,Persons,249,units,0,v1,1,36545075,,,,0
Oct-17,Canada,2016A000011124,Persons,249,units,0,v1,1,36722075,,,,0
Jan-18,Canada,2016A000011124,Persons,249,units,0,v1,1,36801579,,,,0
Apr-18,Canada,2016A000011124,Persons,249,units,0,v1,1,36903671,,,,0
Jul-18,Canada,2016A000011124,Persons,249,units,0,v1,1,37072620,,,,0
Oct-18,Canada,2016A000011124,Persons,249,units,0,v1,1,37259485,,,,0
Jan-19,Canada,2016A000011124,Persons,249,units,0,v1,1,37336956,,,,0
Apr-19,Canada,2016A000011124,Persons,249,units,0,v1,1,37437243,,,,0
Jul-19,Canada,2016A000011124,Persons,249,units,0,v1,1,37618495,,,,0
Oct-19,Canada,2016A000011124,Persons,249,units,0,v1,1,37828162,,,,0
Jan-20,Canada,2016A000011124,Persons,249,units,0,v1,1,37928208,,,,0
Apr-20,Canada,2016A000011124,Persons,249,units,0,v1,1,38006941,,,,0
Jul-20,Canada,2016A000011124,Persons,249,units,0,v1,1,38028638,,,,0
Oct-20,Canada,2016A000011124,Persons,249,units,0,v1,1,38027406,,,,0
Jan-21,Canada,2016A000011124,Persons,249,units,0,v1,1,38058291,,,,0
Apr-21,Canada,2016A000011124,Persons,249,units,0,v1,1,38140918,,,,0
Jul-21,Canada,2016A000011124,Persons,249,units,0,v1,1,38239864,,,,0
Oct-21,Canada,2016A000011124,Persons,249,units,0,v1,1,38446871,,,,0
Jan-22,Canada,2016A000011124,Persons,249,units,0,v1,1,38566032,,,,0
Apr-22,Canada,2016A000011124,Persons,249,units,0,v1,1,38682424,,,,0
Jul-22,Canada,2016A000011124,Persons,249,units,0,v1,1,38935934,,,,0
Oct-22,Canada,2016A000011124,Persons,249,units,0,v1,1,39279501,,,,0
Jan-23,Canada,2016A000011124,Persons,249,units,0,v1,1,39527986,,,,0
Apr-23,Canada,2016A000011124,Persons,249,units,0,v1,1,39748878,,,,0
Jul-23,Canada,2016A000011124,Persons,249,units,0,v1,1,40083484,,,,0
Oct-23,Canada,2016A000011124,Persons,249,units,0,v1,1,40513781,,,,0
